Facility ID,Facility Name,Type,City,State,Region
FAC001,  Wasatch Regional Medical Center ,inpatient hospital,Salt Lake City,Utah,Wasatch Front
FAC002,Canyon View Hospital,Inpatient Hospital,Provo,UT ,Wasatch Front
FAC003,Great Salt Lake Medical Center,INPATIENT HOSPITAL,Ogden,UT,Northern Utah
FAC003,Great Salt Lake Medical Center,Inpatient Hospital,Ogden ,Utah,Northern Utah
FAC004, Red Rock Regional Hospital,Inpatient Hospital,St. George,UT,Southern Utah
FAC005,Cache Valley Community Hospital,critical access,Logan,ut,
FAC006,Treasure Valley Medical Center,Inpatient Hospital,Boise,Idaho,Idaho
FAC007,Snake River Hospital,Critical Access,Idaho Falls,ID,Idaho
FAC008,High Desert Specialty Clinic,Outpatient Clinic,Las Vegas,Nevada,Nevada
FAC009,Mountain West Surgical Center,ambulatory surgery,Salt Lake City,UT,Wasatch Front
FAC010,Bonneville Family Clinic,Outpatient Clinic,Provo,UT,
FAC011,Summit Cardiology Institute,Specialty Center,Salt Lake City,ut,Wasatch Front
FAC012,Valley Women's & Children's,specialty center,Murray,UT,Wasatch Front

